Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.504399,0.504399,0.464697,0.486948,"9,050","12,828,800"
"Mar 22, 2018",0.505898,0.511362,0.477238,0.504412,"4,404","12,865,100"
"Mar 21, 2018",0.496836,0.527373,0.492461,0.506822,"5,344","12,632,900"
"Mar 20, 2018",0.500534,0.506935,0.470223,0.495938,"6,643","12,725,200"
"Mar 19, 2018",0.466413,0.496190,0.458651,0.495011,"7,560","11,856,100"
"Mar 18, 2018",0.459382,0.473367,0.415406,0.468387,"5,584","11,675,700"
"Mar 17, 2018",0.483166,0.488934,0.451210,0.465975,"3,111","12,278,500"
"Mar 16, 2018",0.488735,0.503174,0.454940,0.482371,"7,160","12,418,300"
"Mar 15, 2018",0.501354,0.518895,0.448548,0.489004,"28,626","12,737,100"
"Mar 14, 2018",0.538572,0.653038,0.490469,0.509174,"159,516","13,680,800"
"Mar 13, 2018",0.528903,0.553667,0.511575,0.538498,"17,411","13,433,300"
"Mar 12, 2018",0.571616,1.16,0.533213,0.540533,"62,660","14,516,100"
"Mar 11, 2018",0.527048,0.592366,0.492590,0.573423,"7,235","13,382,400"
"Mar 10, 2018",0.554556,0.588995,0.513118,0.528842,"16,356","14,078,900"
"Mar 09, 2018",0.592088,0.598732,0.512421,0.554318,"9,022","15,029,700"
"Mar 08, 2018",0.641142,0.649305,0.570653,0.595861,"17,252","16,272,600"
"Mar 07, 2018",0.708112,0.733445,0.611084,0.642052,"8,459","17,969,800"
"Mar 06, 2018",0.790544,0.790544,0.684229,0.708984,"13,173","20,058,800"
"Mar 05, 2018",0.813081,0.820640,0.747244,0.754165,"12,185","20,627,800"
"Mar 04, 2018",0.852966,0.853793,0.774126,0.813676,"11,061","21,636,600"
"Mar 03, 2018",0.824511,0.853752,0.806913,0.842418,"8,563","20,911,900"
"Mar 02, 2018",0.781248,0.836200,0.770386,0.825521,"21,709","19,811,800"
"Mar 01, 2018",0.735398,0.796457,0.730227,0.783302,"16,044","18,646,500"
"Feb 28, 2018",0.667345,0.836632,0.667345,0.734317,"87,909","16,918,600"
"Feb 27, 2018",0.718252,0.729037,0.668132,0.668132,"36,486","18,206,600"
"Feb 26, 2018",0.675757,0.721477,0.659095,0.716182,"4,697","17,127,000"
"Feb 25, 2018",0.680102,0.694140,0.662323,0.674892,"2,074","17,234,800"
"Feb 24, 2018",0.738472,0.781327,0.659085,0.681134,"3,885","18,711,400"
"Feb 23, 2018",0.719765,0.775216,0.703374,0.739407,"5,356","18,234,800"
"Feb 22, 2018",0.772231,0.793734,0.708358,0.720438,"7,544","19,561,300"
