Name,Symbol,Price (USD),Volume (USD),Market capacity (USD),Change (1h),Change (24h),Change (7d)
Bitcoin,BTC,9228.95,6467170000.0,1.56113688068e+11,,,
Ethereum,ETH,699.373,1764350000.0,68643586885.5,,,
Ripple,XRP,0.802282,356454000.0,31362773210.0,,,
Bitcoin Cash,BCH,1056.99,428400000.0,17984103505.5,,,
Litecoin,LTC,178.875,569889000.0,9945542612.01,,,
Cardano,ADA,0.225437,185301000.0,5844921000.88,,,
NEO,NEO,86.2032,126485000.0,5603208000.0,,,
Stellar,XLM,0.291395,29499900.0,5390350893.25,,,
EOS,EOS,5.83316,207038000.0,4226358883.44,,,
Monero,XMR,260.172,66798600.0,4115259749.96,,,
Dash,DASH,500.909,85297800.0,3978419472.81,,,
IOTA,MIOTA,1.33953,27856800.0,3723264199.99,,,
NEM,XEM,0.389503,90073500.0,3505526999.61,,,
TRON,TRX,0.0361351,229089000.0,2375817509.92,,,
Tether,USDT,0.999724,2163030000.0,2216528882.66,,,
Ethereum Classic,ETC,20.4911,222809000.0,2058605391.32,,,
VeChain,VEN,4.00373,118004000.0,1954901564.15,,,
Lisk,LSK,14.1681,21298800.0,1455810329.13,,,
Nano,NANO,10.7362,43359900.0,1430580282.7,,,
OmiseGO,OMG,13.7824,23507700.0,1406391265.42,,,
Qtum,QTUM,18.4167,122158000.0,1361810431.81,,,
Bitcoin Gold,BTG,80.0755,16393600.0,1351414081.64,,,
ICON,ICX,2.6462,15090100.0,1021810320.55,,,
Zcash,ZEC,292.175,51809400.0,1012771680.78,,,
Binance Coin,BNB,8.0498,51475700.0,797042897.2,,,
DigixDAO,DGD,339.744,43217300.0,679488000.0,,,
Populous,PPT,16.8756,1890580.0,624465156.259,,,
Steem,STEEM,2.44261,3176470.0,617062081.731,,,
Bytecoin,BCN,0.00325829,3954880.0,598803474.05,,,
Waves,WAVES,5.59146,25207100.0,559146000.0,,,
Verge,XVG,0.0378212,8073130.0,556030160.506,,,
Stratis,STRAT,5.48284,4532780.0,541564002.152,,,
Maker,MKR,810.944,838276.0,501348100.801,,,
Siacoin,SC,0.0145101,9148180.0,479277657.259,,,
RChain,RHOC,1.33259,624532.0,479007320.71,,,
Status,SNT,0.135923,27516400.0,471718567.916,,,
Dogecoin,DOGE,0.00403916,7671150.0,458679740.499,,,
BitShares,BTS,0.163377,6647110.0,426520165.05,,,
Decred,DCR,59.5237,551042.0,412068098.633,,,
Aeternity,AE,1.76636,1892990.0,411598041.123,,,
Waltonchain,WTC,15.4999,8964560.0,385919269.182,,,
Augur,REP,35.0253,1876550.0,385278300.0,,,
Komodo,KMD,3.57365,1601500.0,371691251.721,,,
Bytom,BTM,0.360546,27374000.0,355858902.0,,,
Ark,ARK,3.27252,2111750.0,331158426.759,,,
Veritaseum,VERI,159.946,608937.0,325753291.546,,,
0x,ZRX,0.628254,4100150.0,324838183.442,,,
KuCoin Shares,KCS,3.3819,583593.0,307898578.725,,,
Zilliqa,ZIL,0.0464244,21607500.0,306648341.184,,,
Electroneum,ETN,0.046812,1179270.0,299888879.377,,,
Ardor,ARDR,0.294442,2529550.0,294147409.307,,,
Cryptonex,CNX,6.30917,190234.0,284932582.522,,,
DigiByte,DGB,0.027426,6790660.0,273265055.064,,,
Basic Attenti...,BAT,0.26219,6955240.0,262190000.0,,,
Hshare,HSR,6.10668,25310900.0,260939121.332,,,
Syscoin,SYS,0.477923,2338420.0,254038913.454,,,
Dragonchain,DRGN,1.06454,1054670.0,253809692.008,,,
Golem,GNT,0.303892,23084200.0,253525547.704,,,
Ethos,ETHOS,3.28037,1884660.0,249226643.28,,,
PIVX,PIVX,4.4472,868768.0,247920587.922,,,
Gas,GAS,24.4901,6826440.0,242406116.205,,,
MonaCoin,MONA,4.17737,2468980.0,242379674.998,,,
Factom,FCT,26.8755,1562090.0,235028988.801,,,
QASH,QASH,0.664963,10308700.0,232737050.0,,,
Aion,AION,2.32956,1712280.0,223997217.938,,,
Nebulas,NAS,6.06939,23001800.0,215463345.0,,,
FunFair,FUN,0.0450199,872908.0,207320001.976,,,
Revain,R,1.09786,8077850.0,202500277.0,,,
Loopring,LRC,0.347013,3354220.0,198517129.991,,,
aelf,ELF,0.741114,28034300.0,185278500.0,,,
ReddCoin,RDD,0.00641029,3824780.0,184450657.391,,,
ChainLink,LINK,0.509442,5532280.0,178304700.0,,,
ZCoin,XZC,41.4053,1257760.0,177699908.132,,,
Kin,KIN,0.000232912,161545.0,176104195.122,,,
GXChain,GXS,2.88726,7343850.0,173235600.0,,,
Byteball Bytes,GBYTE,266.787,1013680.0,172136855.837,,,
Particl,PART,19.3184,468602.0,171916965.756,,,
SALT,SALT,3.06164,7823430.0,170671469.794,,,
Dentacoin,DCN,0.000521506,152291.0,169607630.088,,,
Kyber Network,KNC,1.25852,4423030.0,168808681.74,,,
Polymath,POLY,0.689846,480975.0,165562867.538,,,
IOStoken,IOST,0.0195198,34614100.0,163966320.0,,,
SmartCash,SMART,0.203432,112451.0,160030292.025,,,
Dent,DENT,0.0149167,1316680.0,158337204.83,,,
Nxt,NXT,0.156216,2155600.0,156059774.863,,,
Power Ledger,POWR,0.425395,6833140.0,154815127.06,,,
Neblio,NEBL,11.9127,3711890.0,153658449.931,,,
Emercoin,EMC,3.68177,772381.0,152705571.638,,,
Bancor,BNT,3.83849,6394950.0,152160576.997,,,
MaidSafeCoin,MAID,0.329658,1310780.0,149187523.035,,,
Nexus,NXS,2.62865,2626210.0,147483458.061,,,
SIRIN LABS Token,SRN,0.631763,12001600.0,144836740.175,,,
TenX,PAY,1.35909,3894100.0,142244139.808,,,
Substratum,SUB,0.626228,12555400.0,141584795.849,,,
Iconomi,ICN,1.38595,885145.0,138228675.235,,,
Enigma,ENG,1.8346,5706980.0,137294439.482,,,
SingularityNET,AGI,0.262709,630851.0,137057922.789,,,
Request Network,REQ,0.204698,4751410.0,135654796.582,,,
Storj,STORJ,1.01621,21192800.0,135588319.824,,,
Blocknet,BLOCK,25.5493,397481.0,129067551.92,,,
Bitcore,BTX,10.3916,2008360.0,128065044.79,,,
Pillar,PLR,0.5469,69488.1,124356747.12,,,
Monaco,MCO,9.28384,35763900.0,122598141.037,,,
Cindicator,CND,0.0830536,2059220.0,120093561.342,,,
Genesis Vision,GVT,31.4474,6415360.0,117197569.674,,,
Gnosis,GNO,102.892,384980.0,113653474.28,,,
Storm,STORM,0.0276213,41774400.0,112824914.234,,,
BitcoinDark,BTCD,86.6126,88318.7,111631704.805,,,
Vertcoin,VTC,2.57265,924792.0,111415168.507,,,
Civic,CVC,0.317271,24976100.0,108728760.913,,,
Quantstamp,QSP,0.175773,12496000.0,108507163.747,,,
Achain,ACT,0.230541,10628900.0,105260576.436,,,
GameCredits,GAME,1.62925,675629.0,104850957.246,,,
Enjin Coin,ENJ,0.136519,3033850.0,103234648.694,,,
MinexCoin,MNX,28.7451,318595.0,99583973.0937,,,
Santiment Net...,SAN,1.58153,3380260.0,99099256.4796,,,
Theta Token,THETA,0.167916,19197500.0,98748667.9425,,,
XPA,XPA,0.0982475,31330.5,98247500.0,,,
Raiden Networ...,RDN,1.94314,13114800.0,97485266.299,,,
Ignis,IGNIS,0.125252,1751950.0,95334802.0254,,,
